,count,mean,std,min,25%,50%,75%,max
jerk_std,9109.0,350004.13594281295,237938.1493594019,1047.952179775058,186968.93205620893,293647.0246871225,449708.656981669,2394839.0654470515
jerk_mad,9109.0,18280.632427560693,8002.229747632652,49.05856966128779,11240.044460412248,18161.25842667075,24467.847940301763,69238.28139786443
jerk_min,9109.0,62.16699761054239,99.70246852736814,0.3045523798916957,16.038225872306924,31.27798384254674,62.43641586254266,1439.5684067047814
jerk_p25,9109.0,7997.988477230638,3457.165240899238,20.218903165237656,5337.657203520277,7685.003851708805,10250.789218828397,29481.129904202222
jerk_median,9109.0,22739.745767428187,9739.67321030847,59.12590808546477,14405.025950181374,22518.14070015549,30090.298298928203,88205.21788953058
jerk_p75,9109.0,65606.24738923104,29570.98997118781,152.82217211610805,40722.04437668142,64266.883864607174,88075.8345227546,221654.8665695838
jerk_max,9109.0,5136360.554960371,4415949.059808037,9622.24894168991,2227901.2133601788,3829649.5292503494,6496326.555170878,41970287.57885298
jerk_iqr,9109.0,57608.2589120004,26639.186257422396,132.6032689508704,35420.49876103782,56275.291394927335,77329.07291589302,192173.73666538158
jerk_rms,9109.0,363766.5195681807,240414.1801047163,1102.157023590728,199067.1754422734,309672.2711727597,466275.89229720883,2420184.2244839948
jerk_skew,9109.0,9.556626164108836,3.670827877217817,3.125211593047531,6.779993559187414,8.780950493377874,11.584249059163861,22.074359943835102
jerk_kurt,9109.0,124.07773388735569,92.89974426483823,10.690052358946067,56.967320504652655,94.99098920591791,162.46273897091308,488.77142318198656
jerk_nan_frac,9109.0,0.006419018505829733,0.005176887348438875,0.0,0.001996007984031936,0.005952380952380952,0.00992063492063492,0.0745697896749522
FC_mean,9044.0,156.80383825961417,22.374871715002826,59.0,141.0,161.4796380447474,176.0,197.0
FC_std,9044.0,0.5587151855947234,1.505451419749623,0.0,0.0,0.3777587172935665,0.5285857994639992,66.79335477400316
FC_min,9044.0,156.08834586466165,22.839114911210388,45.0,140.0,161.0,176.0,197.0
FC_median,9044.0,156.80600398053957,22.42541148768256,45.0,141.0,162.0,176.0,197.0
FC_max,9044.0,157.50519681556833,22.015327353396952,59.0,141.0,162.0,176.0,197.0
FC_nan_frac,9109.0,0.0079203919357336,0.0871136708535018,0.0,0.0,0.0,0.0,1.0
SpO2_mean,9109.0,96.36639831674239,1.966683446965503,92.0,95.0,97.0,98.0,100.0
SpO2_std,9109.0,0.000125009473396313,0.011931039313875885,0.0,0.0,0.0,0.0,1.138711293167015
SpO2_min,9109.0,96.36634098144692,1.966744827305918,92.0,95.0,97.0,98.0,100.0
SpO2_median,9109.0,96.36634098144692,1.966744827305918,92.0,95.0,97.0,98.0,100.0
SpO2_max,9109.0,96.36667032605116,1.9665997038406184,92.0,95.0,97.0,98.0,100.0
